datetime,product_id,price,qty,customer_id,promotion_id,store_id,po_id
2024-05-22 19:33:00,P049,103.25,13,C0179,,S20,PO00001
2024-03-03 20:21:00,P073,125.81,-14,C0416,PROMO002,S18,PO00002
2024-06-28 17:05:00,P001,136.05,6,C0312,,S10,PO00003
2024-09-20 12:43:00,P027,145.15,16,C0441,,S19,PO00004
2024-09-18 20:31:00,P078,184.3,12,C0330,,S15,PO00005
2024-11-03 20:49:00,P057,28.73,21,C0219,PROMO037,S17,PO00006
2024-05-24 15:18:00,P061,128.0,14,C0087,PROMO020,S10,PO00007
2024-05-08 17:57:00,P066,124.73,18,C0096,PROMO030,S08,PO00008
2024-05-05 13:47:00,P040,73.57,16,C0231,,S07,PO00009
2024-07-10 12:21:00,P019,223.22,10,C0048,PROMO003,S08,PO00010
2024-06-02 10:36:00,P061,121.4,14,C0467,PROMO020,S14,PO00011
2024-04-09 08:29:00,P074,306.67,18,C0200,,S13,PO00012
2024-09-06 17:53:00,P064,98.1,4,C0410,,S08,PO00013
2024-09-06 10:57:00,P019,215.34,4,C0006,,S04,PO00014
2024-01-04 15:15:00,P055,232.41,18,C0181,PROMO021,S17,PO00015
2024-05-31 19:49:00,P060,146.26,12,C0256,PROMO006,S04,PO00016
2024-06-27 18:36:00,P059,235.79,15,C0137,,S15,PO00017
2024-10-11 20:11:00,P068,40.43,-8,C0454,PROMO014,S20,PO00018
2024-08-29 10:22:00,P065,294.92,12,C0457,PROMO040,S06,PO00019
2024-07-14 17:52:00,P061,126.12,14,C0461,,S09,PO00020
2024-08-04 12:56:00,P032,204.59,21,C0284,,S17,PO00021
2024-04-08 11:17:00,P063,277.22,21,C0245,,S09,PO00022
2024-05-30 12:11:00,P057,,17,C0080,,S10,PO00023
2024-09-29 08:19:00,P031,57.94,13,C0344,PROMO031,S11,PO00024
2024-07-05 10:48:00,P070,220.32,14,C0083,,S05,PO00025
2024-10-10 11:18:00,P020,80.56,14,C0393,PROMO005,S05,PO00026
